"Time (s) Run #1";"Current (A) Run #1";"Temperature (°C) Run #1";"ΔT (°C) Run #1";"ΔE₁ (J) Run #1";"ΔE (J) Run #1"
11,300;0,354;24,05;0,04;0,13;4,83
11,400;0,330;24,04;0,03;0,11;4,94
11,500;0,510;24,05;0,04;0,26;5,20
11,600;0,351;24,05;0,04;0,12;5,33
11,700;0,367;24,04;0,03;0,13;5,46
11,800;0,379;24,04;0,03;0,14;5,60
11,900;0,531;24,04;0,03;0,28;5,89
12,000;0,286;24,04;0,03;0,08;5,97
12,100;0,367;24,04;0,03;0,13;6,10
12,200;0,388;24,05;0,04;0,15;6,25
12,300;0,531;24,06;0,05;0,28;6,54
12,400;0,310;24,05;0,04;0,10;6,63
12,500;0,373;24,03;0,02;0,14;6,77
12,600;0,467;24,04;0,03;0,22;6,99
12,700;0,480;24,05;0,04;0,23;7,22
12,800;0,309;24,04;0,03;0,10;7,31
12,900;0,368;24,04;0,03;0,14;7,45
13,000;0,513;24,04;0,03;0,26;7,71
13,100;0,383;24,03;0,02;0,15;7,86
13,200;0,391;24,04;0,03;0,15;8,01
13,300;0,381;24,02;0,01;0,15;8,16
13,400;0,544;24,04;0,03;0,30;8,45
13,500;0,219;24,04;0,03;0,05;8,50
13,600;0,436;24,04;0,03;0,19;8,69
13,700;0,468;24,03;0,02;0,22;8,91
13,800;0,477;24,04;0,03;0,23;9,14
13,900;0,319;24,04;0,03;0,10;9,24
14,000;0,404;24,04;0,03;0,16;9,40
14,100;0,505;24,04;0,03;0,25;9,66
14,200;0,345;24,06;0,05;0,12;9,78
14,300;0,462;24,06;0,05;0,21;9,99
14,400;0,421;24,04;0,03;0,18;10,17
14,500;0,593;24,04;0,03;0,35;10,52
14,600;0,377;24,02;0,01;0,14;10,66
14,700;0,363;24,04;0,03;0,13;10,79
14,800;0,541;24,05;0,04;0,29;11,09
14,900;0,329;24,04;0,03;0,11;11,19
15,000;0,434;24,04;0,03;0,19;11,38
15,100;0,415;24,05;0,04;0,17;11,55
15,200;0,566;24,04;0,03;0,32;11,87
15,300;0,408;24,04;0,03;0,17;12,04
15,400;0,351;24,04;0,03;0,12;12,16
15,500;0,557;24,04;0,03;0,31;12,47
15,600;0,304;24,05;0,04;0,09;12,57
15,700;0,394;24,04;0,03;0,16;12,72
15,800;0,334;24,05;0,04;0,11;12,83
15,900;0,142;24,05;0,04;0,02;12,85
16,000;0,081;24,03;0,02;0,01;12,86
16,100;0,009;24,03;0,02;8,99E-5;12,86
16,200;0,020;24,05;0,04;3,99E-4;12,86
16,300;0,044;24,04;0,03;0,00;12,86
16,400;0,054;24,04;0,03;0,00;12,87
16,500;0,021;24,05;0,04;4,61E-4;12,87
16,600;0,024;24,05;0,04;5,59E-4;12,87
16,700;0,033;24,05;0,04;0,00;12,87
16,800;0,029;24,05;0,04;8,36E-4;12,87
16,900;0,009;24,04;0,03;8,93E-5;12,87
17,000;-9,421E-5;24,05;0,04;8,88E-9;12,87
17,100;-9,421E-5;24,05;0,04;8,88E-9;12,87
17,200;3,140E-5;24,05;0,04;9,86E-10;12,87
17,300;-3,140E-5;24,05;0,04;9,86E-10;12,87
17,400;0,008;24,04;0,03;5,68E-5;12,87
17,500;0,014;24,04;0,03;2,03E-4;12,87
17,600;0,069;24,03;0,02;0,00;12,87
17,700;0,100;24,05;0,04;0,01;12,88
17,800;0,121;24,04;0,03;0,01;12,90
17,900;0,076;24,04;0,03;0,01;12,90
18,000;0,059;24,04;0,03;0,00;12,91
18,100;0,072;24,04;0,03;0,01;12,91
18,200;0,085;24,05;0,04;0,01;12,92
18,300;0,077;24,06;0,05;0,01;12,93
