"Time (s) Run #1";"Current (A) Run #1";"Temperature (°C) Run #1";"ΔT (°C) Run #1";"ΔE₁ (J) Run #1";"ΔE (J) Run #1"
196,200;0,305;24,73;0,72;0,09;224,71
196,300;0,288;24,74;0,73;0,08;224,79
196,400;0,501;24,75;0,74;0,25;225,05
196,500;0,260;24,72;0,71;0,07;225,11
196,600;0,300;24,75;0,74;0,09;225,20
196,700;0,267;24,75;0,74;0,07;225,27
196,800;0,408;24,73;0,72;0,17;225,44
196,900;0,394;24,74;0,73;0,15;225,60
197,000;0,161;24,73;0,72;0,03;225,62
197,100;0,278;24,74;0,73;0,08;225,70
197,200;0,416;24,75;0,74;0,17;225,87
197,300;0,523;24,72;0,71;0,27;226,15
197,400;0,250;24,73;0,72;0,06;226,21
197,500;0,334;24,75;0,74;0,11;226,32
197,600;0,421;24,75;0,74;0,18;226,50
197,700;0,513;24,73;0,72;0,26;226,76
197,800;0,259;24,74;0,73;0,07;226,83
197,900;0,319;24,75;0,74;0,10;226,93
198,000;0,351;24,74;0,73;0,12;227,05
198,100;0,486;24,74;0,73;0,24;227,29
198,200;0,254;24,75;0,74;0,06;227,35
198,300;0,306;24,75;0,74;0,09;227,45
198,400;0,323;24,75;0,74;0,10;227,55
198,500;0,501;24,74;0,73;0,25;227,80
198,600;0,326;24,74;0,73;0,11;227,91
198,700;0,247;24,74;0,73;0,06;227,97
198,800;0,287;24,75;0,74;0,08;228,05
198,900;0,466;24,75;0,74;0,22;228,27
199,000;0,436;24,75;0,74;0,19;228,46
199,100;0,238;24,75;0,74;0,06;228,51
199,200;0,276;24,75;0,74;0,08;228,59
199,300;0,351;24,75;0,74;0,12;228,71
199,400;0,519;24,74;0,73;0,27;228,98
199,500;0,267;24,74;0,73;0,07;229,05
199,600;0,303;24,75;0,74;0,09;229,15
199,700;0,258;24,75;0,74;0,07;229,21
199,800;0,482;24,76;0,75;0,23;229,45
199,900;0,327;24,76;0,75;0,11;229,55
200,000;0,229;24,74;0,73;0,05;229,61
200,100;0,304;24,74;0,73;0,09;229,70
200,200;0,464;24,75;0,74;0,21;229,91
200,300;0,428;24,75;0,74;0,18;230,10
200,400;0,286;24,76;0,75;0,08;230,18
200,500;0,311;24,75;0,74;0,10;230,27
200,600;0,425;24,75;0,74;0,18;230,45
200,700;0,463;24,76;0,75;0,21;230,67
200,800;0,298;24,77;0,76;0,09;230,76
200,900;0,282;24,76;0,75;0,08;230,84
201,000;0,356;24,75;0,74;0,13;230,96
201,100;0,469;24,75;0,74;0,22;231,18
201,200;0,407;24,77;0,76;0,17;231,35
201,300;0,236;24,76;0,75;0,06;231,41
201,400;0,297;24,76;0,75;0,09;231,49
201,500;0,490;24,75;0,74;0,24;231,73
201,600;0,291;24,77;0,76;0,08;231,82
201,700;0,311;24,76;0,75;0,10;231,92
201,800;0,220;24,78;0,77;0,05;231,96
201,900;0,349;24,77;0,76;0,12;232,09
202,000;0,447;24,78;0,77;0,20;232,29
202,100;0,314;24,76;0,75;0,10;232,38
202,200;0,253;24,75;0,74;0,06;232,45
202,300;0,218;24,77;0,76;0,05;232,50
202,400;0,369;24,75;0,74;0,14;232,63
202,500;0,388;24,78;0,77;0,15;232,78
202,600;0,296;24,77;0,76;0,09;232,87
202,700;0,269;24,78;0,77;0,07;232,94
202,800;0,354;24,77;0,76;0,13;233,07
202,900;0,518;24,77;0,76;0,27;233,34
203,000;0,259;24,76;0,75;0,07;233,40
203,100;0,309;24,76;0,75;0,10;233,50
203,200;0,266;24,77;0,76;0,07;233,57
203,300;0,516;24,77;0,76;0,27;233,84
203,400;0,272;24,78;0,77;0,07;233,91
203,500;0,319;24,81;0,80;0,10;234,01
203,600;0,220;24,75;0,74;0,05;234,06
203,700;0,431;24,76;0,75;0,19;234,25
203,800;0,414;24,77;0,76;0,17;234,42
203,900;0,317;24,76;0,75;0,10;234,52
204,000;0,250;24,77;0,76;0,06;234,58
204,100;0,277;24,77;0,76;0,08;234,66
204,200;0,475;24,77;0,76;0,23;234,88
204,300;0,338;24,78;0,77;0,11;235,00
204,400;0,265;24,77;0,76;0,07;235,07
204,500;0,187;24,78;0,77;0,03;235,10
204,600;0,264;24,78;0,77;0,07;235,17
204,700;0,488;24,77;0,76;0,24;235,41
204,800;0,305;24,78;0,77;0,09;235,50
204,900;0,235;24,76;0,75;0,06;235,56
205,000;0,211;24,78;0,77;0,04;235,60
205,100;0,245;24,78;0,77;0,06;235,66
205,200;0,477;24,78;0,77;0,23;235,89
205,300;0,288;24,77;0,76;0,08;235,97
205,400;0,269;24,78;0,77;0,07;236,05
205,500;0,377;24,79;0,78;0,14;236,19
205,600;0,517;24,79;0,78;0,27;236,45
205,700;0,330;24,79;0,78;0,11;236,56
205,800;0,273;24,76;0,75;0,07;236,64
205,900;0,301;24,78;0,77;0,09;236,73
206,000;0,510;24,79;0,78;0,26;236,99
206,100;0,331;24,79;0,78;0,11;237,10
206,200;0,233;24,77;0,76;0,05;237,15
206,300;0,275;24,79;0,78;0,08;237,23
206,400;0,357;24,78;0,77;0,13;237,35
206,500;0,283;24,78;0,77;0,08;237,43
206,600;0,079;24,81;0,80;0,01;237,44
206,700;0,355;24,79;0,78;0,13;237,57
206,800;0,348;24,78;0,77;0,12;237,69
206,900;0,403;24,81;0,80;0,16;237,85
207,000;0,488;24,80;0,79;0,24;238,09
207,100;0,292;24,78;0,77;0,09;238,17
207,200;0,301;24,79;0,78;0,09;238,26
207,300;0,347;24,79;0,78;0,12;238,38
207,400;0,479;24,81;0,80;0,23;238,61
207,500;0,308;24,79;0,78;0,09;238,71
207,600;0,248;24,79;0,78;0,06;238,77
207,700;0,318;24,79;0,78;0,10;238,87
207,800;0,423;24,80;0,79;0,18;239,05
207,900;0,391;24,81;0,80;0,15;239,20
208,000;0,290;24,79;0,78;0,08;239,29
208,100;0,253;24,79;0,78;0,06;239,35
208,200;0,402;24,80;0,79;0,16;239,51
208,300;0,476;24,81;0,80;0,23;239,74
208,400;0,317;24,81;0,80;0,10;239,84
208,500;0,306;24,81;0,80;0,09;239,93
208,600;0,397;24,78;0,77;0,16;240,09
208,700;0,468;24,83;0,82;0,22;240,31
208,800;0,271;24,78;0,77;0,07;240,38
208,900;0,298;24,80;0,79;0,09;240,47
209,000;0,444;24,80;0,79;0,20;240,67
209,100;0,509;24,79;0,78;0,26;240,93
209,200;0,330;24,83;0,82;0,11;241,04
209,300;0,298;24,81;0,80;0,09;241,13
209,400;0,422;24,80;0,79;0,18;241,31
209,500;0,464;24,81;0,80;0,22;241,52
209,600;0,282;24,80;0,79;0,08;241,60
209,700;0,181;24,81;0,80;0,03;241,63
209,800;0,211;24,81;0,80;0,04;241,68
209,900;0,045;24,81;0,80;0,00;241,68
210,000;-0,037;24,80;0,79;0,00;241,68
210,100;0,191;24,81;0,80;0,04;241,72
210,200;0,406;24,83;0,82;0,16;241,88
210,300;0,335;24,81;0,80;0,11;242,00
210,400;0,273;24,81;0,80;0,07;242,07
210,500;0,355;24,84;0,83;0,13;242,20
210,600;0,414;24,81;0,80;0,17;242,37
210,700;0,383;24,81;0,80;0,15;242,51
210,800;0,253;24,81;0,80;0,06;242,58
210,900;0,136;24,84;0,83;0,02;242,60
211,000;0,150;24,81;0,80;0,02;242,62
211,100;0,042;24,81;0,80;0,00;242,62
211,200;0,075;24,81;0,80;0,01;242,63
211,300;0,251;24,81;0,80;0,06;242,69
211,400;0,457;24,83;0,82;0,21;242,90
211,500;0,355;24,83;0,82;0,13;243,03
211,600;0,271;24,81;0,80;0,07;243,10
211,700;0,418;24,83;0,82;0,17;243,27
211,800;0,474;24,83;0,82;0,22;243,50
211,900;0,310;24,81;0,80;0,10;243,59
212,000;0,227;24,81;0,80;0,05;243,65
212,100;0,278;24,83;0,82;0,08;243,72
212,200;0,464;24,84;0,83;0,21;243,94
212,300;0,392;24,84;0,83;0,15;244,09
212,400;0,279;24,83;0,82;0,08;244,17
212,500;0,266;24,81;0,80;0,07;244,24
212,600;0,445;24,80;0,79;0,20;244,44
212,700;0,459;24,81;0,80;0,21;244,65
212,800;0,228;24,85;0,84;0,05;244,70
212,900;0,230;24,85;0,84;0,05;244,75
213,000;0,269;24,83;0,82;0,07;244,82
213,100;0,457;24,83;0,82;0,21;245,03
213,200;0,387;24,83;0,82;0,15;245,18
213,300;0,323;24,83;0,82;0,10;245,29
213,400;0,251;24,83;0,82;0,06;245,35
213,500;0,374;24,84;0,83;0,14;245,49
213,600;0,493;24,84;0,83;0,24;245,73
213,700;0,258;24,83;0,82;0,07;245,80
213,800;0,275;24,85;0,84;0,08;245,88
213,900;0,208;24,85;0,84;0,04;245,92
214,000;0,339;24,83;0,82;0,11;246,03
214,100;0,457;24,85;0,84;0,21;246,24
214,200;0,255;24,85;0,84;0,07;246,31
214,300;0,303;24,83;0,82;0,09;246,40
214,400;0,315;24,81;0,80;0,10;246,50
214,500;0,486;24,84;0,83;0,24;246,74
214,600;0,281;24,86;0,85;0,08;246,81
214,700;0,286;24,84;0,83;0,08;246,90
214,800;0,176;24,84;0,83;0,03;246,93
214,900;0,122;24,83;0,82;0,01;246,94
215,000;0,277;24,84;0,83;0,08;247,02
215,100;0,399;24,83;0,82;0,16;247,18
215,200;0,209;24,86;0,85;0,04;247,22
215,300;0,241;24,85;0,84;0,06;247,28
215,400;0,370;24,85;0,84;0,14;247,42
215,500;0,429;24,84;0,83;0,18;247,60
215,600;0,397;24,87;0,86;0,16;247,76
215,700;0,253;24,87;0,86;0,06;247,82
215,800;0,296;24,84;0,83;0,09;247,91
215,900;0,403;24,83;0,82;0,16;248,07
216,000;0,502;24,84;0,83;0,25;248,33
216,100;0,280;24,84;0,83;0,08;248,40
216,200;0,346;24,85;0,84;0,12;248,52
216,300;0,375;24,86;0,85;0,14;248,66
216,400;0,495;24,85;0,84;0,25;248,91
216,500;0,265;24,86;0,85;0,07;248,98
216,600;0,287;24,85;0,84;0,08;249,06
216,700;0,308;24,84;0,83;0,09;249,16
216,800;0,483;24,85;0,84;0,23;249,39
216,900;0,278;24,86;0,85;0,08;249,47
217,000;0,308;24,87;0,86;0,09;249,56
217,100;0,256;24,85;0,84;0,07;249,63
217,200;0,498;24,84;0,83;0,25;249,88
217,300;0,369;24,87;0,86;0,14;250,01
217,400;0,322;24,85;0,84;0,10;250,12
217,500;0,206;24,86;0,85;0,04;250,16
217,600;0,374;24,86;0,85;0,14;250,30
217,700;0,504;24,86;0,85;0,25;250,55
217,800;0,168;24,86;0,85;0,03;250,58
217,900;0,290;24,85;0,84;0,08;250,66
218,000;0,225;24,87;0,86;0,05;250,71
218,100;0,385;24,86;0,85;0,15;250,86
218,200;0,502;24,87;0,86;0,25;251,11
218,300;0,239;24,85;0,84;0,06;251,17
218,400;0,246;24,87;0,86;0,06;251,23
218,500;0,314;24,86;0,85;0,10;251,33
218,600;0,519;24,85;0,84;0,27;251,60
218,700;0,254;24,86;0,85;0,06;251,66
218,800;0,292;24,85;0,84;0,08;251,75
218,900;0,278;24,87;0,86;0,08;251,83
219,000;0,500;24,86;0,85;0,25;252,08
219,100;0,354;24,87;0,86;0,13;252,20
219,200;0,271;24,86;0,85;0,07;252,28
219,300;0,196;24,86;0,85;0,04;252,31
219,400;0,254;24,87;0,86;0,06;252,38
219,500;0,495;24,87;0,86;0,24;252,62
219,600;0,258;24,87;0,86;0,07;252,69
219,700;0,297;24,87;0,86;0,09;252,78
219,800;0,283;24,86;0,85;0,08;252,86
219,900;0,383;24,88;0,87;0,15;253,00
220,000;0,512;24,86;0,85;0,26;253,27
220,100;0,194;24,86;0,85;0,04;253,30
220,200;0,249;24,87;0,86;0,06;253,37
220,300;0,087;24,85;0,84;0,01;253,37
220,400;-0,202;24,87;0,86;0,04;253,41
220,500;-0,279;24,87;0,86;0,08;253,49
220,600;0,218;24,88;0,87;0,05;253,54
220,700;0,193;24,87;0,86;0,04;253,58
220,800;0,215;24,87;0,86;0,05;253,62
220,900;0,437;24,87;0,86;0,19;253,81
221,000;0,332;24,87;0,86;0,11;253,92
221,100;0,264;24,89;0,88;0,07;253,99
221,200;0,326;24,88;0,87;0,11;254,10
221,300;0,425;24,87;0,86;0,18;254,28
221,400;0,461;24,87;0,86;0,21;254,49
221,500;0,239;24,87;0,86;0,06;254,55
221,600;0,290;24,88;0,87;0,08;254,63
221,700;0,362;24,87;0,86;0,13;254,76
221,800;0,506;24,88;0,87;0,26;255,02
221,900;0,246;24,89;0,88;0,06;255,08
222,000;0,358;24,88;0,87;0,13;255,21
222,100;0,333;24,87;0,86;0,11;255,32
222,200;0,481;24,87;0,86;0,23;255,55
222,300;0,252;24,89;0,88;0,06;255,61
222,400;0,358;24,88;0,87;0,13;255,74
222,500;0,267;24,89;0,88;0,07;255,81
222,600;0,249;24,88;0,87;0,06;255,88
222,700;0,151;24,88;0,87;0,02;255,90
222,800;0,023;24,89;0,88;5,28E-4;255,90
222,900;-6,281E-5;24,88;0,87;3,94E-9;255,90
223,000;-9,421E-5;24,90;0,89;8,88E-9;255,90
223,100;-6,281E-5;24,88;0,87;3,94E-9;255,90
223,200;-9,421E-5;24,90;0,89;8,88E-9;255,90
223,300;-1,256E-4;24,89;0,88;1,58E-8;255,90
223,400;-1,256E-4;24,89;0,88;1,58E-8;255,90
223,500;-9,421E-5;24,88;0,87;8,88E-9;255,90
223,600;-9,421E-5;24,89;0,88;8,88E-9;255,90
223,700;-6,281E-5;24,89;0,88;3,94E-9;255,90
223,800;0,001;24,90;0,89;1,21E-6;255,90
223,900;0,181;24,88;0,87;0,03;255,93
224,000;0,334;24,89;0,88;0,11;256,04
224,100;0,333;24,90;0,89;0,11;256,15
224,200;0,331;24,89;0,88;0,11;256,26
224,300;0,375;24,89;0,88;0,14;256,40
224,400;0,237;24,87;0,86;0,06;256,46
224,500;0,292;24,89;0,88;0,09;256,54
224,600;0,429;24,89;0,88;0,18;256,73
224,700;0,358;24,89;0,88;0,13;256,86
224,800;0,427;24,89;0,88;0,18;257,04
224,900;0,287;24,89;0,88;0,08;257,12
225,000;0,440;24,90;0,89;0,19;257,32
225,100;0,403;24,88;0,87;0,16;257,48
225,200;0,383;24,91;0,90;0,15;257,62
225,300;0,367;24,89;0,88;0,13;257,76
225,400;0,421;24,88;0,87;0,18;257,94
225,500;0,420;24,89;0,88;0,18;258,11
225,600;0,263;24,88;0,87;0,07;258,18
225,700;0,314;24,90;0,89;0,10;258,28
225,800;0,437;24,90;0,89;0,19;258,47
225,900;0,395;24,89;0,88;0,16;258,63
226,000;0,351;24,90;0,89;0,12;258,75
226,100;0,316;24,91;0,90;0,10;258,85
226,200;0,410;24,90;0,89;0,17;259,02
226,300;0,390;24,90;0,89;0,15;259,17
226,400;0,372;24,89;0,88;0,14;259,31
226,500;0,274;24,91;0,90;0,08;259,39
226,600;0,430;24,90;0,89;0,18;259,57
226,700;0,359;24,90;0,89;0,13;259,70
226,800;0,366;24,90;0,89;0,13;259,83
226,900;0,243;24,91;0,90;0,06;259,89
227,000;-0,016;24,91;0,90;2,56E-4;259,89
227,100;-0,125;24,90;0,89;0,02;259,91
227,200;0,361;24,91;0,90;0,13;260,04
227,300;0,379;24,90;0,89;0,14;260,18
227,400;0,365;24,92;0,91;0,13;260,32
227,500;0,298;24,90;0,89;0,09;260,40
227,600;0,286;24,91;0,90;0,08;260,49
227,700;0,438;24,92;0,91;0,19;260,68
227,800;0,404;24,90;0,89;0,16;260,84
227,900;0,383;24,90;0,89;0,15;260,99
228,000;0,370;24,91;0,90;0,14;261,13
228,100;0,396;24,90;0,89;0,16;261,28
228,200;0,417;24,90;0,89;0,17;261,46
228,300;0,343;24,90;0,89;0,12;261,57
228,400;0,413;24,90;0,89;0,17;261,75
228,500;0,414;24,91;0,90;0,17;261,92
228,600;0,431;24,91;0,90;0,19;262,10
228,700;0,308;24,92;0,91;0,09;262,20
228,800;0,433;24,92;0,91;0,19;262,39
228,900;0,383;24,90;0,89;0,15;262,53
229,000;0,409;24,91;0,90;0,17;262,70
229,100;0,322;24,93;0,92;0,10;262,80
229,200;0,458;24,93;0,92;0,21;263,01
229,300;0,378;24,91;0,90;0,14;263,16
229,400;0,414;24,91;0,90;0,17;263,33
229,500;0,316;24,93;0,92;0,10;263,43
229,600;0,451;24,90;0,89;0,20;263,63
229,700;0,323;24,92;0,91;0,10;263,73
229,800;0,430;24,92;0,91;0,18;263,92
229,900;0,403;24,93;0,92;0,16;264,08
230,000;0,419;24,92;0,91;0,18;264,26
230,100;0,403;24,92;0,91;0,16;264,42
230,200;0,364;24,93;0,92;0,13;264,55
230,300;0,221;24,91;0,90;0,05;264,60
230,400;0,173;24,93;0,92;0,03;264,63
230,500;0,187;24,91;0,90;0,04;264,66
230,600;0,293;24,93;0,92;0,09;264,75
230,700;0,444;24,93;0,92;0,20;264,95
230,800;0,193;24,94;0,93;0,04;264,98
230,900;0,429;24,93;0,92;0,18;265,17
231,000;0,370;24,93;0,92;0,14;265,31
231,100;0,376;24,90;0,89;0,14;265,45
231,200;0,310;24,93;0,92;0,10;265,54
231,300;0,432;24,93;0,92;0,19;265,73
231,400;0,377;24,93;0,92;0,14;265,87
231,500;0,377;24,91;0,90;0,14;266,01
231,600;0,278;24,93;0,92;0,08;266,09
231,700;0,407;24,93;0,92;0,17;266,26
231,800;0,393;24,93;0,92;0,15;266,41
231,900;0,362;24,93;0,92;0,13;266,54
232,000;0,248;24,93;0,92;0,06;266,60
232,100;0,363;24,93;0,92;0,13;266,74
232,200;0,442;24,92;0,91;0,20;266,93
232,300;0,368;24,92;0,91;0,14;267,07
232,400;0,355;24,95;0,94;0,13;267,19
232,500;0,463;24,93;0,92;0,21;267,41
232,600;-0,066;24,95;0,94;0,00;267,41
232,700;-0,369;24,94;0,93;0,14;267,55
232,800;-0,011;24,93;0,92;1,21E-4;267,55
232,900;0,237;24,93;0,92;0,06;267,60
233,000;0,300;24,93;0,92;0,09;267,69
233,100;0,296;24,93;0,92;0,09;267,78
233,200;0,445;24,93;0,92;0,20;267,98
233,300;0,225;24,94;0,93;0,05;268,03
233,400;0,448;24,93;0,92;0,20;268,23
233,500;0,347;24,95;0,94;0,12;268,35
233,600;0,388;24,94;0,93;0,15;268,50
233,700;0,296;24,93;0,92;0,09;268,59
233,800;0,442;24,93;0,92;0,19;268,78
233,900;0,328;24,93;0,92;0,11;268,89
234,000;0,388;24,95;0,94;0,15;269,04
234,100;0,320;24,93;0,92;0,10;269,14
234,200;0,440;24,95;0,94;0,19;269,34
234,300;0,242;24,95;0,94;0,06;269,40
234,400;0,278;24,95;0,94;0,08;269,47
234,500;0,370;24,93;0,92;0,14;269,61
234,600;0,457;24,95;0,94;0,21;269,82
234,700;0,247;24,94;0,93;0,06;269,88
234,800;-0,135;24,94;0,93;0,02;269,90
234,900;-0,203;24,95;0,94;0,04;269,94
235,000;0,055;24,94;0,93;0,00;269,94
235,100;0,242;24,93;0,92;0,06;270,00
235,200;0,270;24,95;0,94;0,07;270,08
235,300;0,456;24,94;0,93;0,21;270,28
235,400;0,242;24,93;0,92;0,06;270,34
235,500;0,411;24,95;0,94;0,17;270,51
235,600;0,306;24,95;0,94;0,09;270,60
235,700;0,398;24,94;0,93;0,16;270,76
235,800;0,341;24,94;0,93;0,12;270,88
235,900;0,403;24,94;0,93;0,16;271,04
236,000;0,304;24,94;0,93;0,09;271,13
236,100;0,377;24,94;0,93;0,14;271,27
236,200;0,392;24,97;0,95;0,15;271,43
236,300;0,260;24,97;0,95;0,07;271,50
236,400;0,252;24,95;0,94;0,06;271,56
236,500;0,285;24,94;0,93;0,08;271,64
236,600;0,410;24,95;0,94;0,17;271,81
236,700;0,279;24,97;0,95;0,08;271,89
236,800;0,209;24,98;0,97;0,04;271,93
236,900;0,341;24,99;0,98;0,12;272,05
237,000;0,321;24,97;0,95;0,10;272,15
237,100;0,466;24,95;0,94;0,22;272,37
237,200;0,333;24,97;0,95;0,11;272,48
237,300;0,334;24,97;0,95;0,11;272,59
237,400;0,248;24,99;0,98;0,06;272,65
237,500;0,433;24,97;0,95;0,19;272,84
237,600;0,298;24,97;0,95;0,09;272,93
237,700;0,366;24,98;0,97;0,13;273,06
237,800;0,281;24,97;0,95;0,08;273,14
237,900;0,358;24,98;0,97;0,13;273,27
238,000;0,430;24,95;0,94;0,19;273,46
238,100;0,361;24,99;0,98;0,13;273,59
238,200;0,303;24,98;0,97;0,09;273,68
238,300;0,228;24,98;0,97;0,05;273,73
238,400;0,440;24,97;0,95;0,19;273,92
238,500;0,307;24,98;0,97;0,09;274,02
238,600;0,393;24,97;0,95;0,15;274,17
238,700;0,219;24,95;0,94;0,05;274,22
238,800;0,336;24,99;0,98;0,11;274,33
238,900;0,415;24,97;0,95;0,17;274,50
239,000;0,393;24,98;0,97;0,15;274,66
239,100;0,313;24,95;0,94;0,10;274,76
239,200;0,319;24,98;0,97;0,10;274,86
239,300;0,457;24,98;0,97;0,21;275,07
239,400;0,364;24,98;0,97;0,13;275,20
239,500;0,404;24,99;0,98;0,16;275,36
239,600;0,297;24,97;0,95;0,09;275,45
239,700;0,423;24,97;0,95;0,18;275,63
239,800;0,344;24,95;0,94;0,12;275,75
239,900;0,387;24,97;0,95;0,15;275,90
240,000;0,220;24,98;0,97;0,05;275,95
240,100;0,430;24,97;0,95;0,19;276,13
240,200;0,326;24,97;0,95;0,11;276,24
240,300;0,434;24,98;0,97;0,19;276,43
240,400;0,256;24,98;0,97;0,07;276,49
240,500;0,396;24,94;0,93;0,16;276,65
240,600;0,279;24,98;0,97;0,08;276,73
240,700;0,426;24,98;0,97;0,18;276,91
240,800;0,308;24,97;0,95;0,10;277,00
240,900;0,341;24,97;0,95;0,12;277,12
241,000;0,316;25,00;0,99;0,10;277,22
241,100;0,419;24,97;0,95;0,18;277,40
241,200;0,414;24,97;0,95;0,17;277,57
241,300;0,209;24,98;0,97;0,04;277,61
241,400;0,097;24,99;0,98;0,01;277,62
241,500;0,205;24,98;0,97;0,04;277,66
241,600;0,146;24,99;0,98;0,02;277,68
241,700;0,306;24,99;0,98;0,09;277,78
241,800;0,416;24,98;0,97;0,17;277,95
241,900;0,223;24,99;0,98;0,05;278,00
242,000;0,396;24,98;0,97;0,16;278,16
242,100;0,361;24,98;0,97;0,13;278,29
242,200;0,477;24,98;0,97;0,23;278,51
242,300;0,158;25,02;1,01;0,02;278,54
242,400;0,401;25,00;0,99;0,16;278,70
242,500;0,264;24,99;0,98;0,07;278,77
242,600;0,346;24,99;0,98;0,12;278,89
242,700;0,320;25,00;0,99;0,10;278,99
242,800;0,291;25,00;0,99;0,08;279,08
242,900;0,414;24,99;0,98;0,17;279,25
243,000;0,357;24,99;0,98;0,13;279,38
243,100;0,379;25,01;1,00;0,14;279,52
243,200;0,265;24,99;0,98;0,07;279,59
243,300;0,464;25,00;0,99;0,22;279,80
243,400;0,264;25,00;0,99;0,07;279,87
243,500;0,359;24,99;0,98;0,13;280,00
243,600;0,154;24,99;0,98;0,02;280,03
243,700;0,291;25,00;0,99;0,08;280,11
243,800;0,464;25,01;1,00;0,22;280,33
243,900;0,369;25,01;1,00;0,14;280,46
244,000;0,333;25,00;0,99;0,11;280,57
244,100;0,232;24,99;0,98;0,05;280,63
244,200;0,506;25,00;0,99;0,26;280,88
244,300;0,289;24,99;0,98;0,08;280,97
244,400;0,404;25,00;0,99;0,16;281,13
244,500;0,180;25,01;1,00;0,03;281,16
244,600;0,354;25,02;1,01;0,13;281,29
244,700;0,364;24,99;0,98;0,13;281,42
244,800;0,346;25,03;1,02;0,12;281,54
244,900;0,383;25,01;1,00;0,15;281,69
245,000;0,255;25,01;1,00;0,07;281,75
245,100;0,451;25,03;1,02;0,20;281,96
245,200;0,269;25,01;1,00;0,07;282,03
245,300;0,430;25,01;1,00;0,18;282,21
245,400;0,247;25,01;1,00;0,06;282,27
245,500;0,407;25,00;0,99;0,17;282,44
245,600;0,270;25,01;1,00;0,07;282,51
245,700;0,396;25,02;1,01;0,16;282,67
245,800;0,336;25,00;0,99;0,11;282,78
245,900;0,229;25,01;1,00;0,05;282,84
246,000;0,393;25,01;1,00;0,15;282,99
246,100;0,248;25,00;0,99;0,06;283,05
246,200;0,460;25,02;1,01;0,21;283,26
246,300;0,192;24,99;0,98;0,04;283,30
246,400;0,316;25,00;0,99;0,10;283,40
246,500;0,386;25,01;1,00;0,15;283,55
246,600;0,324;25,02;1,01;0,11;283,65
246,700;0,380;25,02;1,01;0,14;283,80
246,800;0,207;25,01;1,00;0,04;283,84
246,900;0,412;25,02;1,01;0,17;284,01
247,000;0,240;25,00;0,99;0,06;284,07
247,100;0,442;25,00;0,99;0,20;284,26
247,200;0,307;25,02;1,01;0,09;284,36
247,300;0,375;25,01;1,00;0,14;284,50
247,400;0,320;25,02;1,01;0,10;284,60
247,500;0,359;25,00;0,99;0,13;284,73
247,600;0,317;25,02;1,01;0,10;284,83
247,700;0,236;25,02;1,01;0,06;284,89
247,800;0,390;25,04;1,03;0,15;285,04
247,900;0,340;25,04;1,03;0,12;285,15
248,000;0,458;25,03;1,02;0,21;285,36
248,100;0,315;25,03;1,02;0,10;285,46
248,200;0,406;25,02;1,01;0,16;285,63
248,300;0,248;25,03;1,02;0,06;285,69
248,400;0,457;25,01;1,00;0,21;285,90
248,500;0,231;25,02;1,01;0,05;285,95
248,600;0,397;25,03;1,02;0,16;286,11
248,700;0,215;25,03;1,02;0,05;286,16
248,800;0,341;25,03;1,02;0,12;286,27
248,900;0,406;25,04;1,03;0,16;286,44
249,000;0,256;25,03;1,02;0,07;286,50
249,100;0,369;25,04;1,03;0,14;286,64
249,200;0,250;25,01;1,00;0,06;286,70
249,300;0,477;25,02;1,01;0,23;286,93
249,400;0,236;25,03;1,02;0,06;286,98
249,500;0,244;25,02;1,01;0,06;287,04
249,600;0,332;25,03;1,02;0,11;287,15
249,700;0,348;25,02;1,01;0,12;287,27
249,800;0,409;25,03;1,02;0,17;287,44
249,900;0,268;25,03;1,02;0,07;287,51
250,000;0,382;25,03;1,02;0,15;287,66
250,100;0,201;25,03;1,02;0,04;287,70
250,200;0,358;25,04;1,03;0,13;287,83
250,300;0,348;25,05;1,04;0,12;287,95
250,400;0,181;25,03;1,02;0,03;287,98
250,500;0,391;25,03;1,02;0,15;288,13
250,600;0,199;25,03;1,02;0,04;288,17
250,700;0,421;25,03;1,02;0,18;288,35
250,800;0,299;25,04;1,03;0,09;288,44
250,900;0,228;25,04;1,03;0,05;288,49
251,000;0,384;25,05;1,04;0,15;288,64
251,100;0,244;25,03;1,02;0,06;288,70
251,200;0,429;25,05;1,04;0,18;288,88
251,300;0,239;25,04;1,03;0,06;288,94
251,400;0,258;25,03;1,02;0,07;289,01
251,500;0,350;25,04;1,03;0,12;289,13
251,600;0,277;25,05;1,04;0,08;289,21
251,700;0,451;25,02;1,01;0,20;289,41
251,800;0,237;25,03;1,02;0,06;289,47
251,900;0,354;25,03;1,02;0,13;289,59
252,000;0,215;25,06;1,05;0,05;289,64
252,100;0,288;25,05;1,04;0,08;289,72
252,200;0,384;25,04;1,03;0,15;289,87
252,300;0,242;25,03;1,02;0,06;289,93
252,400;0,381;25,05;1,04;0,15;290,07
252,500;0,286;25,05;1,04;0,08;290,15
252,600;0,250;25,05;1,04;0,06;290,22
252,700;0,359;25,06;1,05;0,13;290,35
252,800;0,222;25,05;1,04;0,05;290,39
252,900;0,392;25,05;1,04;0,15;290,55
253,000;0,275;25,07;1,06;0,08;290,62
253,100;0,325;25,08;1,07;0,11;290,73
253,200;0,350;25,04;1,03;0,12;290,85
253,300;0,205;25,06;1,05;0,04;290,89
253,400;0,459;25,04;1,03;0,21;291,11
253,500;0,217;25,05;1,04;0,05;291,15
253,600;0,413;25,06;1,05;0,17;291,32
253,700;0,215;25,06;1,05;0,05;291,37
